tamanho_bloco;numero_linhas;tamanho_cache_bytes;hit_global;amat;leituras_mp;escritas_mp;total_mp
8;1024;8192;84.834;13.0996;1621;6144;7765
16;512;8192;84.834;13.0996;1621;6144;7765
32;256;8192;81.8398;14.8961;3154;6144;9298
64;128;8192;80.9043;15.4574;3633;6144;9777
128;64;8192;78.9395;16.6363;4639;6144;10783
256;32;8192;74.9668;19.0199;6673;6144;12817
512;16;8192;67.9902;23.2059;10245;6144;16389
1024;8;8192;64.0;25.6;12288;6144;18432
2048;4;8192;64.0;25.6;12288;6144;18432
4096;2;8192;56.0;30.4;16384;6144;22528
