experimento;numero_linhas;tamanho_cache_bytes;tamanho_bloco;associatividade;politica;hit_global;amat;leituras_mp;escritas_mp;total_mp
exp1;8;1024;;;;43.0;38.2;23040;6144;29184
exp1;16;2048;;;;46.998;35.8012;20993;6144;27137
exp1;32;4096;;;;58.9785;28.6129;14859;6144;21003
exp1;64;8192;;;;81.9336;14.8398;3106;6144;9250
exp1;128;16384;;;;87.9219;11.2469;40;6144;6184
exp1;256;32768;;;;87.9219;11.2469;40;6144;6184
exp1;512;65536;;;;87.9219;11.2469;40;6144;6184
exp1;1024;131072;;;;87.9219;11.2469;40;6144;6184
exp2;1024;8192;8;;;84.834;13.0996;1621;6144;7765
exp2;512;8192;16;;;84.834;13.0996;1621;6144;7765
exp2;256;8192;32;;;81.8398;14.8961;3154;6144;9298
exp2;128;8192;64;;;80.9043;15.4574;3633;6144;9777
exp2;64;8192;128;;;78.9395;16.6363;4639;6144;10783
exp2;32;8192;256;;;74.9668;19.0199;6673;6144;12817
exp2;16;8192;512;;;67.9902;23.2059;10245;6144;16389
exp2;8;8192;1024;;;64.0;25.6;12288;6144;18432
exp2;4;8192;2048;;;64.0;25.6;12288;6144;18432
exp2;2;8192;4096;;;56.0;30.4;16384;6144;22528
exp3;64;8192;128;1;;74.957;19.0258;12822;2048;14870
exp3;64;8192;128;2;;87.9375;11.2375;6176;1026;7202
exp3;64;8192;128;4;;92.9277;8.2434;3621;515;4136
exp3;64;8192;128;8;;89.9336;10.0398;5154;1026;6180
exp3;64;8192;128;16;;99.9141;4.0516;44;4;48
exp3;64;8192;128;32;;99.9141;4.0516;44;4;48
exp3;64;8192;128;64;;99.9141;4.0516;44;4;48
exp4;16;2048;;;LRU;46.998;35.8012;20993;6144;27137
exp4;32;4096;;;LRU;58.9785;28.6129;14859;6144;21003
exp4;64;8192;;;LRU;81.9336;14.8398;3106;6144;9250
exp4;128;16384;;;LRU;87.9219;11.2469;40;6144;6184
exp4;256;32768;;;LRU;87.9219;11.2469;40;6144;6184
exp4;512;65536;;;LRU;87.9219;11.2469;40;6144;6184
exp4;1024;131072;;;LRU;87.9219;11.2469;40;6144;6184
exp4;16;2048;;;ALEATORIA;48.6895;34.7863;20127;6144;26271
exp4;32;4096;;;ALEATORIA;66.9629;23.8223;10771;6144;16915
exp4;64;8192;;;ALEATORIA;84.1973;13.4816;1947;6144;8091
exp4;128;16384;;;ALEATORIA;87.9219;11.2469;40;6144;6184
exp4;256;32768;;;ALEATORIA;87.9219;11.2469;40;6144;6184
exp4;512;65536;;;ALEATORIA;87.9219;11.2469;40;6144;6184
exp4;1024;131072;;;ALEATORIA;87.9219;11.2469;40;6144;6184
exp5_write-through;128;8192;64;2;;80.9043;15.4574;3633;6144;9777
exp5_write-through;128;8192;64;4;;82.9004;14.2598;2611;6144;8755
exp5_write-through;64;8192;128;2;;78.9395;16.6363;4639;6144;10783
exp5_write-through;64;8192;128;4;;81.9336;14.8398;3106;6144;9250
exp5_write-through;256;16384;64;2;;87.8906;11.2656;56;6144;6200
exp5_write-through;256;16384;64;4;;87.8906;11.2656;56;6144;6200
exp5_write-through;128;16384;128;2;;85.9258;12.4445;1062;6144;7206
exp5_write-through;128;16384;128;4;;87.9219;11.2469;40;6144;6184
exp5_write-back;128;8192;64;2;;89.9023;10.0586;5170;1026;6196
exp5_write-back;128;8192;64;4;;93.8945;7.6633;3126;515;3641
exp5_write-back;64;8192;128;2;;87.9375;11.2375;6176;1026;7202
exp5_write-back;64;8192;128;4;;92.9277;8.2434;3621;515;4136
exp5_write-back;256;16384;64;2;;94.8926;7.0645;2615;1026;3641
exp5_write-back;256;16384;64;4;;94.8926;7.0645;2615;515;3130
exp5_write-back;128;16384;128;2;;92.9277;8.2434;3621;1026;4647
exp5_write-back;128;16384;128;4;;94.9238;7.0457;2599;515;3114
